PlantID,Year,symp.extent,varb,resp,id,root
A,2019,0.16,late19.floret.count.total,2761,1,1
B,2019,0.24,late19.floret.count.total,5980,2,1
C,2019,0.2,late19.floret.count.total,6415,3,1
D,2019,0.54,late19.floret.count.total,2305,4,1
E,2019,0.17,late19.floret.count.total,4779,5,1
F,2019,0,late19.floret.count.total,3423,6,1
G,2019,0.13,late19.floret.count.total,5023,7,1
H,2019,0.03,late19.floret.count.total,3168,8,1
I,2019,0.07,late19.floret.count.total,4037,9,1
J,2019,0.19,late19.floret.count.total,5402,10,1
